Systematic Name,Standard Name,complex,term_link,gene_link
YDR322W,MRPL35,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YDR322W/go' target='_blank'>YDR322W</a>
YDR322W,MRPL35,large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015934' target='_blank'>large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YDR322W/go' target='_blank'>YDR322W</a>
YDR322W,MRPL35,mitochondrial large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0005762' target='_blank'>mitochondrial large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YDR322W/go' target='_blank'>YDR322W</a>
YDR322W,MRPL35,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR322W/go' target='_blank'>YDR322W</a>
YDR322W,MRPL35,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR322W/go' target='_blank'>YDR322W</a>
YER111C,SWI4,RNA polymerase II transcription factor complex,<a href='https://www.yeastgenome.org/go/GO:0090575' target='_blank'>RNA polymerase II transcription factor complex</a>,<a href='https://www.yeastgenome.org/locus/YER111C/go' target='_blank'>YER111C</a>
YER111C,SWI4,SBF transcription complex,<a href='https://www.yeastgenome.org/go/GO:0033309' target='_blank'>SBF transcription complex</a>,<a href='https://www.yeastgenome.org/locus/YER111C/go' target='_blank'>YER111C</a>
YER111C,SWI4,chromatin,<a href='https://www.yeastgenome.org/go/GO:0000785' target='_blank'>chromatin</a>,<a href='https://www.yeastgenome.org/locus/YER111C/go' target='_blank'>YER111C</a>
YER111C,SWI4,nuclear chromatin,<a href='https://www.yeastgenome.org/go/GO:0000790' target='_blank'>nuclear chromatin</a>,<a href='https://www.yeastgenome.org/locus/YER111C/go' target='_blank'>YER111C</a>
YER111C,SWI4,transcription factor complex,<a href='https://www.yeastgenome.org/go/GO:0005667' target='_blank'>transcription factor complex</a>,<a href='https://www.yeastgenome.org/locus/YER111C/go' target='_blank'>YER111C</a>
YJL111W,CCT7,chaperonin-containing T-complex,<a href='https://www.yeastgenome.org/go/GO:0005832' target='_blank'>chaperonin-containing T-complex</a>,<a href='https://www.yeastgenome.org/locus/YJL111W/go' target='_blank'>YJL111W</a>
YER126C,NSA2,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YER126C/go' target='_blank'>YER126C</a>
YER126C,NSA2,"preribosome, large subunit precursor","<a href='https://www.yeastgenome.org/go/GO:0030687' target='_blank'>preribosome, large subunit precursor</a>",<a href='https://www.yeastgenome.org/locus/YER126C/go' target='_blank'>YER126C</a>
YER126C,NSA2,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YER126C/go' target='_blank'>YER126C</a>
YIL016W,SNL1,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YIL016W/go' target='_blank'>YIL016W</a>
YIL016W,SNL1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YIL016W/go' target='_blank'>YIL016W</a>
YIL016W,SNL1,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YIL016W/go' target='_blank'>YIL016W</a>
YDR260C,SWM1,anaphase-promoting complex,<a href='https://www.yeastgenome.org/go/GO:0005680' target='_blank'>anaphase-promoting complex</a>,<a href='https://www.yeastgenome.org/locus/YDR260C/go' target='_blank'>YDR260C</a>
YDR260C,SWM1,ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0000151' target='_blank'>ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YDR260C/go' target='_blank'>YDR260C</a>
YER068W,MOT2,CCR4-NOT complex,<a href='https://www.yeastgenome.org/go/GO:0030014' target='_blank'>CCR4-NOT complex</a>,<a href='https://www.yeastgenome.org/locus/YER068W/go' target='_blank'>YER068W</a>
YER068W,MOT2,CCR4-NOT core complex,<a href='https://www.yeastgenome.org/go/GO:0030015' target='_blank'>CCR4-NOT core complex</a>,<a href='https://www.yeastgenome.org/locus/YER068W/go' target='_blank'>YER068W</a>
YJR136C,TTI2,ASTRA complex,<a href='https://www.yeastgenome.org/go/GO:0070209' target='_blank'>ASTRA complex</a>,<a href='https://www.yeastgenome.org/locus/YJR136C/go' target='_blank'>YJR136C</a>
YJR136C,TTI2,chromatin,<a href='https://www.yeastgenome.org/go/GO:0000785' target='_blank'>chromatin</a>,<a href='https://www.yeastgenome.org/locus/YJR136C/go' target='_blank'>YJR136C</a>
YJR136C,TTI2,nuclear chromatin,<a href='https://www.yeastgenome.org/go/GO:0000790' target='_blank'>nuclear chromatin</a>,<a href='https://www.yeastgenome.org/locus/YJR136C/go' target='_blank'>YJR136C</a>
YMR264W,CUE1,Doa10p ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0000837' target='_blank'>Doa10p ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YMR264W/go' target='_blank'>YMR264W</a>
YMR264W,CUE1,Hrd1p ubiquitin ligase ERAD-L complex,<a href='https://www.yeastgenome.org/go/GO:0000839' target='_blank'>Hrd1p ubiquitin ligase ERAD-L complex</a>,<a href='https://www.yeastgenome.org/locus/YMR264W/go' target='_blank'>YMR264W</a>
YMR264W,CUE1,ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0000151' target='_blank'>ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YMR264W/go' target='_blank'>YMR264W</a>
YAR014C,BUD14,Kelch-containing formin regulatory complex,<a href='https://www.yeastgenome.org/go/GO:1990615' target='_blank'>Kelch-containing formin regulatory complex</a>,<a href='https://www.yeastgenome.org/locus/YAR014C/go' target='_blank'>YAR014C</a>
YIL004C,BET1,SNARE complex,<a href='https://www.yeastgenome.org/go/GO:0031201' target='_blank'>SNARE complex</a>,<a href='https://www.yeastgenome.org/locus/YIL004C/go' target='_blank'>YIL004C</a>
YIL133C,RPL16A,cytosolic large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022625' target='_blank'>cytosolic large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YIL133C/go' target='_blank'>YIL133C</a>
YIL133C,RPL16A,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YIL133C/go' target='_blank'>YIL133C</a>
YIL133C,RPL16A,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YIL133C/go' target='_blank'>YIL133C</a>
YIL133C,RPL16A,large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015934' target='_blank'>large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YIL133C/go' target='_blank'>YIL133C</a>
YIL133C,RPL16A,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YIL133C/go' target='_blank'>YIL133C</a>
YGR206W,MVB12,ESCRT I complex,<a href='https://www.yeastgenome.org/go/GO:0000813' target='_blank'>ESCRT I complex</a>,<a href='https://www.yeastgenome.org/locus/YGR206W/go' target='_blank'>YGR206W</a>
YDR362C,TFC6,transcription factor TFIIIC complex,<a href='https://www.yeastgenome.org/go/GO:0000127' target='_blank'>transcription factor TFIIIC complex</a>,<a href='https://www.yeastgenome.org/locus/YDR362C/go' target='_blank'>YDR362C</a>
YDR362C,TFC6,transcription factor complex,<a href='https://www.yeastgenome.org/go/GO:0005667' target='_blank'>transcription factor complex</a>,<a href='https://www.yeastgenome.org/locus/YDR362C/go' target='_blank'>YDR362C</a>
YNL323W,LEM3,Lem3p-Dnf1p complex,<a href='https://www.yeastgenome.org/go/GO:1990531' target='_blank'>Lem3p-Dnf1p complex</a>,<a href='https://www.yeastgenome.org/locus/YNL323W/go' target='_blank'>YNL323W</a>
YGR128C,UTP8,90S preribosome,<a href='https://www.yeastgenome.org/go/GO:0030686' target='_blank'>90S preribosome</a>,<a href='https://www.yeastgenome.org/locus/YGR128C/go' target='_blank'>YGR128C</a>
YGR128C,UTP8,chromatin,<a href='https://www.yeastgenome.org/go/GO:0000785' target='_blank'>chromatin</a>,<a href='https://www.yeastgenome.org/locus/YGR128C/go' target='_blank'>YGR128C</a>
YGR128C,UTP8,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YGR128C/go' target='_blank'>YGR128C</a>
YGR128C,UTP8,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YGR128C/go' target='_blank'>YGR128C</a>
YGR128C,UTP8,rDNA heterochromatin,<a href='https://www.yeastgenome.org/go/GO:0033553' target='_blank'>rDNA heterochromatin</a>,<a href='https://www.yeastgenome.org/locus/YGR128C/go' target='_blank'>YGR128C</a>
YGR128C,UTP8,small-subunit processome,<a href='https://www.yeastgenome.org/go/GO:0032040' target='_blank'>small-subunit processome</a>,<a href='https://www.yeastgenome.org/locus/YGR128C/go' target='_blank'>YGR128C</a>
YGR128C,UTP8,t-UTP complex,<a href='https://www.yeastgenome.org/go/GO:0034455' target='_blank'>t-UTP complex</a>,<a href='https://www.yeastgenome.org/locus/YGR128C/go' target='_blank'>YGR128C</a>
YPR072W,NOT5,CCR4-NOT complex,<a href='https://www.yeastgenome.org/go/GO:0030014' target='_blank'>CCR4-NOT complex</a>,<a href='https://www.yeastgenome.org/locus/YPR072W/go' target='_blank'>YPR072W</a>
YPR072W,NOT5,CCR4-NOT core complex,<a href='https://www.yeastgenome.org/go/GO:0030015' target='_blank'>CCR4-NOT core complex</a>,<a href='https://www.yeastgenome.org/locus/YPR072W/go' target='_blank'>YPR072W</a>
YER087C-B,SBH1,Sec61 translocon complex,<a href='https://www.yeastgenome.org/go/GO:0005784' target='_blank'>Sec61 translocon complex</a>,<a href='https://www.yeastgenome.org/locus/YER087C-B/go' target='_blank'>YER087C-B</a>
YDL179W,PCL9,cyclin-dependent protein kinase holoenzyme complex,<a href='https://www.yeastgenome.org/go/GO:0000307' target='_blank'>cyclin-dependent protein kinase holoenzyme complex</a>,<a href='https://www.yeastgenome.org/locus/YDL179W/go' target='_blank'>YDL179W</a>
YMR024W,MRPL3,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YMR024W/go' target='_blank'>YMR024W</a>
YMR024W,MRPL3,large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015934' target='_blank'>large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YMR024W/go' target='_blank'>YMR024W</a>
YMR024W,MRPL3,mitochondrial large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0005762' target='_blank'>mitochondrial large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YMR024W/go' target='_blank'>YMR024W</a>
YMR024W,MRPL3,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/YMR024W/go' target='_blank'>YMR024W</a>
YMR024W,MRPL3,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YMR024W/go' target='_blank'>YMR024W</a>
YLR048W,RPS0B,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YLR048W/go' target='_blank'>YLR048W</a>
YLR048W,RPS0B,cytosolic small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022627' target='_blank'>cytosolic small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YLR048W/go' target='_blank'>YLR048W</a>
YLR048W,RPS0B,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YLR048W/go' target='_blank'>YLR048W</a>
YLR048W,RPS0B,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YLR048W/go' target='_blank'>YLR048W</a>
YLR048W,RPS0B,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YLR048W/go' target='_blank'>YLR048W</a>
YBR010W,HHT1,CENP-A containing nucleosome,<a href='https://www.yeastgenome.org/go/GO:0043505' target='_blank'>CENP-A containing nucleosome</a>,<a href='https://www.yeastgenome.org/locus/YBR010W/go' target='_blank'>YBR010W</a>
YBR010W,HHT1,chromatin,<a href='https://www.yeastgenome.org/go/GO:0000785' target='_blank'>chromatin</a>,<a href='https://www.yeastgenome.org/locus/YBR010W/go' target='_blank'>YBR010W</a>
YBR010W,HHT1,"chromosome, centromeric region","<a href='https://www.yeastgenome.org/go/GO:0000775' target='_blank'>chromosome, centromeric region</a>",<a href='https://www.yeastgenome.org/locus/YBR010W/go' target='_blank'>YBR010W</a>
YBR010W,HHT1,nuclear chromatin,<a href='https://www.yeastgenome.org/go/GO:0000790' target='_blank'>nuclear chromatin</a>,<a href='https://www.yeastgenome.org/locus/YBR010W/go' target='_blank'>YBR010W</a>
YBR010W,HHT1,nuclear nucleosome,<a href='https://www.yeastgenome.org/go/GO:0000788' target='_blank'>nuclear nucleosome</a>,<a href='https://www.yeastgenome.org/locus/YBR010W/go' target='_blank'>YBR010W</a>
YBR010W,HHT1,replication fork protection complex,<a href='https://www.yeastgenome.org/go/GO:0031298' target='_blank'>replication fork protection complex</a>,<a href='https://www.yeastgenome.org/locus/YBR010W/go' target='_blank'>YBR010W</a>
YDL029W,ARP2,Arp2/3 protein complex,<a href='https://www.yeastgenome.org/go/GO:0005885' target='_blank'>Arp2/3 protein complex</a>,<a href='https://www.yeastgenome.org/locus/YDL029W/go' target='_blank'>YDL029W</a>
snR78,,box C/D snoRNP complex,<a href='https://www.yeastgenome.org/go/GO:0031428' target='_blank'>box C/D snoRNP complex</a>,<a href='https://www.yeastgenome.org/locus/snR78/go' target='_blank'>snR78</a>
snR78,,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/snR78/go' target='_blank'>snR78</a>
snR78,,small nucleolar ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0005732' target='_blank'>small nucleolar ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/snR78/go' target='_blank'>snR78</a>
YCR002C,CDC10,meiotic spindle,<a href='https://www.yeastgenome.org/go/GO:0072687' target='_blank'>meiotic spindle</a>,<a href='https://www.yeastgenome.org/locus/YCR002C/go' target='_blank'>YCR002C</a>
YCR002C,CDC10,microtubule,<a href='https://www.yeastgenome.org/go/GO:0005874' target='_blank'>microtubule</a>,<a href='https://www.yeastgenome.org/locus/YCR002C/go' target='_blank'>YCR002C</a>
YCR002C,CDC10,septin complex,<a href='https://www.yeastgenome.org/go/GO:0031105' target='_blank'>septin complex</a>,<a href='https://www.yeastgenome.org/locus/YCR002C/go' target='_blank'>YCR002C</a>
YCR002C,CDC10,spindle microtubule,<a href='https://www.yeastgenome.org/go/GO:0005876' target='_blank'>spindle microtubule</a>,<a href='https://www.yeastgenome.org/locus/YCR002C/go' target='_blank'>YCR002C</a>
YCR002C,CDC10,spindle,<a href='https://www.yeastgenome.org/go/GO:0005819' target='_blank'>spindle</a>,<a href='https://www.yeastgenome.org/locus/YCR002C/go' target='_blank'>YCR002C</a>
YPR180W,AOS1,SUMO activating enzyme complex,<a href='https://www.yeastgenome.org/go/GO:0031510' target='_blank'>SUMO activating enzyme complex</a>,<a href='https://www.yeastgenome.org/locus/YPR180W/go' target='_blank'>YPR180W</a>
YLR277C,YSH1,mRNA cleavage and polyadenylation specificity factor complex,<a href='https://www.yeastgenome.org/go/GO:0005847' target='_blank'>mRNA cleavage and polyadenylation specificity factor complex</a>,<a href='https://www.yeastgenome.org/locus/YLR277C/go' target='_blank'>YLR277C</a>
YLR277C,YSH1,mRNA cleavage factor complex,<a href='https://www.yeastgenome.org/go/GO:0005849' target='_blank'>mRNA cleavage factor complex</a>,<a href='https://www.yeastgenome.org/locus/YLR277C/go' target='_blank'>YLR277C</a>
YJL042W,MHP1,microtubule,<a href='https://www.yeastgenome.org/go/GO:0005874' target='_blank'>microtubule</a>,<a href='https://www.yeastgenome.org/locus/YJL042W/go' target='_blank'>YJL042W</a>
Q0140,VAR1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/Q0140/go' target='_blank'>Q0140</a>
Q0140,VAR1,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/Q0140/go' target='_blank'>Q0140</a>
Q0140,VAR1,mitochondrial small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0005763' target='_blank'>mitochondrial small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/Q0140/go' target='_blank'>Q0140</a>
Q0140,VAR1,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/Q0140/go' target='_blank'>Q0140</a>
Q0140,VAR1,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/Q0140/go' target='_blank'>Q0140</a>
YDR228C,PCF11,mRNA cleavage factor complex,<a href='https://www.yeastgenome.org/go/GO:0005849' target='_blank'>mRNA cleavage factor complex</a>,<a href='https://www.yeastgenome.org/locus/YDR228C/go' target='_blank'>YDR228C</a>
YOL099C,,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YOL099C/go' target='_blank'>YOL099C</a>
YOL099C,,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YOL099C/go' target='_blank'>YOL099C</a>
YDR447C,RPS17B,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR447C/go' target='_blank'>YDR447C</a>
YDR447C,RPS17B,cytosolic small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022627' target='_blank'>cytosolic small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YDR447C/go' target='_blank'>YDR447C</a>
YDR447C,RPS17B,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YDR447C/go' target='_blank'>YDR447C</a>
YDR447C,RPS17B,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR447C/go' target='_blank'>YDR447C</a>
YDR447C,RPS17B,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YDR447C/go' target='_blank'>YDR447C</a>
YDR026C,NSI1,chromatin,<a href='https://www.yeastgenome.org/go/GO:0000785' target='_blank'>chromatin</a>,<a href='https://www.yeastgenome.org/locus/YDR026C/go' target='_blank'>YDR026C</a>
YDR026C,NSI1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YDR026C/go' target='_blank'>YDR026C</a>
YDR026C,NSI1,rDNA heterochromatin,<a href='https://www.yeastgenome.org/go/GO:0033553' target='_blank'>rDNA heterochromatin</a>,<a href='https://www.yeastgenome.org/locus/YDR026C/go' target='_blank'>YDR026C</a>
YDR026C,NSI1,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR026C/go' target='_blank'>YDR026C</a>
YDR041W,RSM10,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YDR041W/go' target='_blank'>YDR041W</a>
YDR041W,RSM10,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR041W/go' target='_blank'>YDR041W</a>
YDR041W,RSM10,mitochondrial small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0005763' target='_blank'>mitochondrial small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YDR041W/go' target='_blank'>YDR041W</a>
YDR041W,RSM10,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR041W/go' target='_blank'>YDR041W</a>
YDR041W,RSM10,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YDR041W/go' target='_blank'>YDR041W</a>
YMR190C,SGS1,RecQ helicase-Topo III complex,<a href='https://www.yeastgenome.org/go/GO:0031422' target='_blank'>RecQ helicase-Topo III complex</a>,<a href='https://www.yeastgenome.org/locus/YMR190C/go' target='_blank'>YMR190C</a>
YEL018W,EAF5,NuA4 histone acetyltransferase complex,<a href='https://www.yeastgenome.org/go/GO:0035267' target='_blank'>NuA4 histone acetyltransferase complex</a>,<a href='https://www.yeastgenome.org/locus/YEL018W/go' target='_blank'>YEL018W</a>
YEL018W,EAF5,histone acetyltransferase complex,<a href='https://www.yeastgenome.org/go/GO:0000123' target='_blank'>histone acetyltransferase complex</a>,<a href='https://www.yeastgenome.org/locus/YEL018W/go' target='_blank'>YEL018W</a>
YFR049W,YMR31,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YFR049W/go' target='_blank'>YFR049W</a>
YFR049W,YMR31,mitochondrial oxoglutarate dehydrogenase complex,<a href='https://www.yeastgenome.org/go/GO:0009353' target='_blank'>mitochondrial oxoglutarate dehydrogenase complex</a>,<a href='https://www.yeastgenome.org/locus/YFR049W/go' target='_blank'>YFR049W</a>
YFR049W,YMR31,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/YFR049W/go' target='_blank'>YFR049W</a>
YFR049W,YMR31,mitochondrial small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0005763' target='_blank'>mitochondrial small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YFR049W/go' target='_blank'>YFR049W</a>
YFR049W,YMR31,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YFR049W/go' target='_blank'>YFR049W</a>
YFR049W,YMR31,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YFR049W/go' target='_blank'>YFR049W</a>
YER146W,LSM5,Lsm1-7-Pat1 complex,<a href='https://www.yeastgenome.org/go/GO:1990726' target='_blank'>Lsm1-7-Pat1 complex</a>,<a href='https://www.yeastgenome.org/locus/YER146W/go' target='_blank'>YER146W</a>
YER146W,LSM5,U4/U6 x U5 tri-snRNP complex,<a href='https://www.yeastgenome.org/go/GO:0046540' target='_blank'>U4/U6 x U5 tri-snRNP complex</a>,<a href='https://www.yeastgenome.org/locus/YER146W/go' target='_blank'>YER146W</a>
YER146W,LSM5,U6 snRNP,<a href='https://www.yeastgenome.org/go/GO:0005688' target='_blank'>U6 snRNP</a>,<a href='https://www.yeastgenome.org/locus/YER146W/go' target='_blank'>YER146W</a>
YER146W,LSM5,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YER146W/go' target='_blank'>YER146W</a>
YER146W,LSM5,small nuclear ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030532' target='_blank'>small nuclear ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YER146W/go' target='_blank'>YER146W</a>
YER146W,LSM5,small nucleolar ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0005732' target='_blank'>small nucleolar ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YER146W/go' target='_blank'>YER146W</a>
YLR141W,RRN5,RNA polymerase I transcription factor complex,<a href='https://www.yeastgenome.org/go/GO:0000120' target='_blank'>RNA polymerase I transcription factor complex</a>,<a href='https://www.yeastgenome.org/locus/YLR141W/go' target='_blank'>YLR141W</a>
YLR141W,RRN5,RNA polymerase I upstream activating factor complex,<a href='https://www.yeastgenome.org/go/GO:0000500' target='_blank'>RNA polymerase I upstream activating factor complex</a>,<a href='https://www.yeastgenome.org/locus/YLR141W/go' target='_blank'>YLR141W</a>
YLR141W,RRN5,transcription factor complex,<a href='https://www.yeastgenome.org/go/GO:0005667' target='_blank'>transcription factor complex</a>,<a href='https://www.yeastgenome.org/locus/YLR141W/go' target='_blank'>YLR141W</a>
YPR178W,PRP4,U4/U6 x U5 tri-snRNP complex,<a href='https://www.yeastgenome.org/go/GO:0046540' target='_blank'>U4/U6 x U5 tri-snRNP complex</a>,<a href='https://www.yeastgenome.org/locus/YPR178W/go' target='_blank'>YPR178W</a>
YPR178W,PRP4,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPR178W/go' target='_blank'>YPR178W</a>
YPR178W,PRP4,small nuclear ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030532' target='_blank'>small nuclear ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPR178W/go' target='_blank'>YPR178W</a>
YPR019W,MCM4,DNA replication preinitiation complex,<a href='https://www.yeastgenome.org/go/GO:0031261' target='_blank'>DNA replication preinitiation complex</a>,<a href='https://www.yeastgenome.org/locus/YPR019W/go' target='_blank'>YPR019W</a>
