go_p,count,Systematic Name
protein processing,14,"['YCL052C', 'YDR231C', 'YDR430C', 'YER078C', 'YGL045W', 'YHR028C', 'YJL156C', 'YJR117W', 'YLR120C', 'YMR154C', 'YNL238W', 'YOR030W', 'YOR223W', 'YOR275C']"
protein processing involved in protein targeting to mitochondrion,6,"['YBL045C', 'YHR024C', 'YKL134C', 'YLR163C', 'YMR035W', 'YMR150C']"
protein refolding,28,"['YAL005C', 'YBL075C', 'YBR155W', 'YBR169C', 'YBR227C', 'YDL229W', 'YDR258C', 'YEL030W', 'YER103W', 'YFL016C', 'YHR064C', 'YJL034W', 'YJL162C', 'YJR032W', 'YJR045C', 'YKL073W', 'YLL024C', 'YLL026W', 'YLR216C', 'YLR259C', 'YLR369W', 'YMR186W', 'YNL064C', 'YNL209W', 'YOR020C', 'YOR232W', 'YPL106C', 'YPL240C']"
protein repair,1,['YCL033C']
protein retention in ER lumen,10,"['YAL007C', 'YAR002C-A', 'YBL040C', 'YCL001W', 'YDL018C', 'YDR414C', 'YFL025C', 'YGL200C', 'YIL005W', 'YOR016C']"
protein retention in Golgi apparatus,15,"['YBR097W', 'YDR372C', 'YER151C', 'YHR181W', 'YJL053W', 'YJL154C', 'YKL002W', 'YKR001C', 'YKR078W', 'YLL040C', 'YLR417W', 'YNR006W', 'YNR051C', 'YOR069W', 'YPR173C']"
protein secretion,17,"['YBR162W-A', 'YCR067C', 'YDL099W', 'YDR084C', 'YDR517W', 'YER143W', 'YFL005W', 'YFL039C', 'YGR127W', 'YJL205C', 'YMR185W', 'YNL024C-A', 'YNL287W', 'YNR026C', 'YOL018C', 'YOR329C', 'YPR149W']"
protein splicing,2,"['YDL185W', 'YDL227C']"
protein stabilization,16,"['R0040C', 'YDL065C', 'YDR168W', 'YDR173C', 'YDR258C', 'YDR496C', 'YER078C', 'YFR001W', 'YGR099W', 'YJR104C', 'YKL134C', 'YLR259C', 'YMR186W', 'YNL310C', 'YOR057W', 'YPL240C']"
protein sumoylation,20,"['YDL013W', 'YDL064W', 'YDL105W', 'YDR288W', 'YDR390C', 'YDR409W', 'YDR510W', 'YEL019C', 'YER038C', 'YER116C', 'YHR134W', 'YLR007W', 'YLR383W', 'YLR394W', 'YLR445W', 'YML023C', 'YNL077W', 'YOL034W', 'YOR156C', 'YPR180W']"
protein targeting,4,"['YDR086C', 'YDR292C', 'YGR082W', 'YKL077W']"
protein targeting to ER,10,"['YBR106W', 'YDL092W', 'YDR292C', 'YHL028W', 'YIR022W', 'YJR010C-A', 'YKL154W', 'YLR066W', 'YML055W', 'YNL064C']"
protein targeting to membrane,21,"['YBL069W', 'YCL008C', 'YDL142C', 'YDR126W', 'YDR264C', 'YDR459C', 'YER101C', 'YHL028W', 'YHR193C', 'YJL031C', 'YLR119W', 'YLR246W', 'YLR301W', 'YLR347C', 'YNL189W', 'YNL326C', 'YOL003C', 'YOL110W', 'YOR370C', 'YPL065W', 'YPR176C']"
protein targeting to mitochondrion,12,"['YAL005C', 'YBR230C', 'YEL030W', 'YGR028W', 'YHR117W', 'YIR004W', 'YLR050C', 'YNL064C', 'YNL121C', 'YOR027W', 'YPL240C', 'YPR133W-A']"
protein targeting to nuclear inner membrane,8,"['YBL079W', 'YER105C', 'YGL092W', 'YGL172W', 'YGR119C', 'YIL090W', 'YKL068W', 'YLR335W']"
protein targeting to peroxisome,2,"['YKL197C', 'YMR026C']"
protein targeting to vacuolar membrane,5,"['YBR131W', 'YDR092W', 'YGL087C', 'YGL124C', 'YKR051W']"
protein targeting to vacuole,56,"['YAL002W', 'YBL017C', 'YBR097W', 'YBR105C', 'YBR131W', 'YBR164C', 'YBR288C', 'YBR290W', 'YCL008C', 'YCR100C', 'YDR080W', 'YDR200C', 'YDR495C', 'YEL027W', 'YGL095C', 'YGL104C', 'YGL124C', 'YGR066C', 'YGR141W', 'YGR198W', 'YGR206W', 'YGR261C', 'YHL002W', 'YHR136C', 'YIL173W', 'YJL024C', 'YJL036W', 'YJL222W', 'YJR102C', 'YJR126C', 'YKR001C', 'YKR014C', 'YKR020W', 'YKR035W-A', 'YLL040C', 'YLR119W', 'YLR261C', 'YLR396C', 'YLR417W', 'YML041C', 'YML097C', 'YMR004W', 'YMR258C', 'YNL093W', 'YNL275W', 'YNL297C', 'YNR006W', 'YNR065C', 'YNR066C', 'YOL129W', 'YOR089C', 'YPL002C', 'YPL045W', 'YPL065W', 'YPL195W', 'YPR139C']"
protein targeting to vacuole involved in autophagy,3,"['YBL078C', 'YOL083W', 'YPR185W']"
protein targeting to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,28,"['YBR302C', 'YDL126C', 'YDL248W', 'YDR358W', 'YER143W', 'YFL062W', 'YGL263W', 'YGR136W', 'YGR295C', 'YHL002W', 'YHL048W', 'YHR108W', 'YJR102C', 'YJR161C', 'YKL124W', 'YKL219W', 'YLR417W', 'YML132W', 'YMR135C', 'YMR171C', 'YNL336W', 'YNR006W', 'YNR075W', 'YOR256C', 'YPL002C', 'YPL065W', 'YPL084W', 'YPL176C']"
protein trans-autophosphorylation,1,['YHR079C']
protein transmembrane transport,9,"['YBR091C', 'YDL217C', 'YDR375C', 'YHL028W', 'YHR117W', 'YJL054W', 'YNL026W', 'YOR297C', 'YPR133W-A']"
protein transport,407,"['YAL002W', 'YAL007C', 'YAL014C', 'YAL042W', 'YAR002C-A', 'YAR002W', 'YAR033W', 'YBL017C', 'YBL037W', 'YBL040C', 'YBL050W', 'YBL078C', 'YBL079W', 'YBL101C', 'YBL102W', 'YBL104C', 'YBL107C', 'YBR017C', 'YBR077C', 'YBR080C', 'YBR091C', 'YBR097W', 'YBR102C', 'YBR105C', 'YBR106W', 'YBR111W-A', 'YBR128C', 'YBR131W', 'YBR162W-A', 'YBR164C', 'YBR170C', 'YBR171W', 'YBR201W', 'YBR217W', 'YBR264C', 'YBR283C', 'YBR288C', 'YCL008C', 'YCR067C', 'YDL018C', 'YDL058W', 'YDL063C', 'YDL072C', 'YDL077C', 'YDL088C', 'YDL113C', 'YDL115C', 'YDL116W', 'YDL126C', 'YDL137W', 'YDL145C', 'YDL149W', 'YDL192W', 'YDL195W', 'YDL207W', 'YDL212W', 'YDL217C', 'YDL226C', 'YDL231C', 'YDR002W', 'YDR022C', 'YDR027C', 'YDR080W', 'YDR086C', 'YDR093W', 'YDR128W', 'YDR141C', 'YDR142C', 'YDR153C', 'YDR155C', 'YDR164C', 'YDR166C', 'YDR170C', 'YDR186C', 'YDR189W', 'YDR192C', 'YDR200C', 'YDR202C', 'YDR238C', 'YDR244W', 'YDR252W', 'YDR299W', 'YDR351W', 'YDR358W', 'YDR361C', 'YDR372C', 'YDR395W', 'YDR414C', 'YDR424C', 'YDR425W', 'YDR468C', 'YDR484W', 'YDR486C', 'YDR498C', 'YDR524C', 'YEL020W-A', 'YEL031W', 'YEL062W', 'YER006W', 'YER008C', 'YER009W', 'YER019C-A', 'YER031C', 'YER074W-A', 'YER087C-B', 'YER105C', 'YER107C', 'YER110C', 'YER122C', 'YER128W', 'YER136W', 'YER143W', 'YER157W', 'YFL005W', 'YFL025C', 'YFL038C', 'YFR002W', 'YFR021W', 'YFR022W', 'YFR051C', 'YGL002W', 'YGL005C', 'YGL045W', 'YGL051W', 'YGL092W', 'YGL095C', 'YGL098W', 'YGL099W', 'YGL100W', 'YGL104C', 'YGL114W', 'YGL124C', 'YGL137W', 'YGL145W', 'YGL153W', 'YGL164C', 'YGL172W', 'YGL180W', 'YGL200C', 'YGL210W', 'YGL223C', 'YGL233W', 'YGL238W', 'YGL241W', 'YGR009C', 'YGR033C', 'YGR068C', 'YGR082W', 'YGR119C', 'YGR120C', 'YGR131W', 'YGR141W', 'YGR163W', 'YGR172C', 'YGR181W', 'YGR200C', 'YGR206W', 'YGR209C', 'YGR218W', 'YGR245C', 'YGR261C', 'YHL002W', 'YHL019C', 'YHL023C', 'YHL031C', 'YHR005C-A', 'YHR012W', 'YHR036W', 'YHR083W', 'YHR098C', 'YHR103W', 'YHR108W', 'YHR110W', 'YHR142W', 'YHR170W', 'YHR171W', 'YHR181W', 'YHR193C', 'YIL002C', 'YIL004C', 'YIL022W', 'YIL048W', 'YIL063C', 'YIL068C', 'YIL076W', 'YIL109C', 'YIL115C', 'YIL149C', 'YIL173W', 'YIR011C', 'YJL004C', 'YJL024C', 'YJL029C', 'YJL036W', 'YJL039C', 'YJL041W', 'YJL053W', 'YJL054W', 'YJL061W', 'YJL084C', 'YJL085W', 'YJL099W', 'YJL104W', 'YJL143W', 'YJL154C', 'YJL178C', 'YJL192C', 'YJL204C', 'YJL205C', 'YJL207C', 'YJL212C', 'YJL222W', 'YJR005W', 'YJR033C', 'YJR042W', 'YJR044C', 'YJR058C', 'YJR074W', 'YJR102C', 'YJR125C', 'YJR126C', 'YJR132W', 'YJR135W-A', 'YJR138W', 'YKL002W', 'YKL006C-A', 'YKL041W', 'YKL057C', 'YKL065C', 'YKL068W', 'YKL084W', 'YKL103C', 'YKL124W', 'YKL135C', 'YKL143W', 'YKL176C', 'YKL195W', 'YKR007W', 'YKR014C', 'YKR020W', 'YKR021W', 'YKR027W', 'YKR035W-A', 'YKR065C', 'YKR082W', 'YKR093W', 'YKR095W', 'YLL023C', 'YLL040C', 'YLL042C', 'YLR008C', 'YLR018C', 'YLR025W', 'YLR026C', 'YLR043C', 'YLR064W', 'YLR065C', 'YLR078C', 'YLR080W', 'YLR099W-A', 'YLR119W', 'YLR148W', 'YLR166C', 'YLR170C', 'YLR181C', 'YLR191W', 'YLR208W', 'YLR240W', 'YLR262C', 'YLR268W', 'YLR292C', 'YLR293C', 'YLR309C', 'YLR330W', 'YLR335W', 'YLR347C', 'YLR360W', 'YLR373C', 'YLR378C', 'YLR384C', 'YLR386W', 'YLR392C', 'YLR396C', 'YLR417W', 'YLR431C', 'YLR440C', 'YML001W', 'YML012W', 'YML031W', 'YML067C', 'YML071C', 'YML103C', 'YML121W', 'YML125C', 'YMR004W', 'YMR026C', 'YMR040W', 'YMR047C', 'YMR060C', 'YMR077C', 'YMR079W', 'YMR129W', 'YMR153W', 'YMR159C', 'YMR171C', 'YMR192W', 'YMR197C', 'YMR203W', 'YMR214W', 'YMR231W', 'YMR237W', 'YMR255W', 'YMR292W', 'YMR308C', 'YNL015W', 'YNL026W', 'YNL041C', 'YNL049C', 'YNL051W', 'YNL064C', 'YNL070W', 'YNL093W', 'YNL106C', 'YNL131W', 'YNL149C', 'YNL189W', 'YNL214W', 'YNL223W', 'YNL242W', 'YNL246W', 'YNL258C', 'YNL263C', 'YNL265C', 'YNL272C', 'YNL287W', 'YNL297C', 'YNL310C', 'YNL328C', 'YNR007C', 'YNR017W', 'YNR026C', 'YNR049C', 'YOL018C', 'YOL026C', 'YOL031C', 'YOL062C', 'YOL065C', 'YOL082W', 'YOL083W', 'YOL129W', 'YOL138C', 'YOR016C', 'YOR018W', 'YOR045W', 'YOR046C', 'YOR069W', 'YOR075W', 'YOR089C', 'YOR094W', 'YOR098C', 'YOR109W', 'YOR132W', 'YOR185C', 'YOR223W', 'YOR254C', 'YOR257W', 'YOR297C', 'YOR299W', 'YOR322C', 'YOR326W', 'YOR329C', 'YOR357C', 'YOR359W', 'YPL002C', 'YPL010W', 'YPL037C', 'YPL045W', 'YPL051W', 'YPL063W', 'YPL065W', 'YPL069C', 'YPL084W', 'YPL085W', 'YPL094C', 'YPL100W', 'YPL120W', 'YPL125W', 'YPL149W', 'YPL166W', 'YPL195W', 'YPL218W', 'YPL249C', 'YPL259C', 'YPR017C', 'YPR029C', 'YPR030W', 'YPR049C', 'YPR055W', 'YPR079W', 'YPR105C', 'YPR133W-A', 'YPR149W', 'YPR157W', 'YPR173C', 'YPR181C', 'YPR185W', 'YPR194C']"
protein transport into membrane raft,1,['YBL069W']
protein ubiquitination,103,"['YAR007C', 'YBL084C', 'YBR062C', 'YBR082C', 'YBR114W', 'YBR165W', 'YBR280C', 'YCR066W', 'YDL008W', 'YDL013W', 'YDL074C', 'YDL132W', 'YDL165W', 'YDL190C', 'YDR054C', 'YDR059C', 'YDR092W', 'YDR118W', 'YDR131C', 'YDR139C', 'YDR143C', 'YDR161W', 'YDR177W', 'YDR255C', 'YDR260C', 'YDR265W', 'YDR266C', 'YDR306C', 'YDR313C', 'YDR328C', 'YDR457W', 'YEL012W', 'YER068W', 'YER100W', 'YER116C', 'YER125W', 'YFL009W', 'YFR036W', 'YGL058W', 'YGL240W', 'YGR003W', 'YGR072W', 'YGR133W', 'YGR184C', 'YHR115C', 'YHR166C', 'YIL030C', 'YIL038C', 'YIL046W', 'YIL097W', 'YIL148W', 'YIR025W', 'YJL047C', 'YJL149W', 'YJL173C', 'YJR036C', 'YJR052W', 'YJR090C', 'YKL022C', 'YKL034W', 'YKL054C', 'YKL059C', 'YKL210W', 'YKR017C', 'YKR094C', 'YLL036C', 'YLL039C', 'YLR005W', 'YLR007W', 'YLR024C', 'YLR097C', 'YLR102C', 'YLR127C', 'YLR167W', 'YLR207W', 'YLR224W', 'YLR247C', 'YLR352W', 'YLR368W', 'YML068W', 'YML088W', 'YML111W', 'YMR022W', 'YMR080C', 'YMR119W', 'YMR247C', 'YMR275C', 'YNL008C', 'YNL116W', 'YNL172W', 'YNL230C', 'YNL311C', 'YNL312W', 'YOL013C', 'YOL054W', 'YOL133W', 'YOR080W', 'YOR249C', 'YOR339C', 'YPL046C', 'YPL054W', 'YPR072W', 'YPR093C']"
protein unfolding,8,"['YDR258C', 'YER036C', 'YFR009W', 'YJR045C', 'YKL197C', 'YLL026W', 'YNL077W', 'YNL329C']"
protein urmylation,7,"['YGL211W', 'YGR200C', 'YHR111W', 'YIL008W', 'YMR312W', 'YNL119W', 'YNL229C']"
protein-DNA complex assembly,1,['YGL213C']
protein-DNA covalent cross-linking,1,['YMR114C']
protein-FAD linkage,1,['YOL071W']
protein-RNA complex remodeling,3,"['YCR072C', 'YLR106C', 'YOR272W']"
protein-chromophore linkage,1,['YOR386W']
protein-lipid complex remodeling,1,['YFL025C']
proteolysis,114,"['YBL022C', 'YBL067C', 'YBL091C', 'YBR058C', 'YBR074W', 'YBR139W', 'YBR227C', 'YBR281C', 'YBR286W', 'YCL057W', 'YCR045C', 'YDL122W', 'YDL216C', 'YDR069C', 'YDR101C', 'YDR144C', 'YDR331W', 'YDR349C', 'YDR415C', 'YDR430C', 'YEL059C-A', 'YEL060C', 'YER017C', 'YER078C', 'YER098W', 'YER143W', 'YER144C', 'YER151C', 'YFL044C', 'YFR004W', 'YFR006W', 'YFR010W', 'YFR018C', 'YFR044C', 'YFR052W', 'YGL203C', 'YGL258W-A', 'YGL259W', 'YGR098C', 'YGR101W', 'YGR225W', 'YHR024C', 'YHR028C', 'YHR047C', 'YHR113W', 'YHR132C', 'YHR134W', 'YHR165C', 'YIL015W', 'YIL031W', 'YIL108W', 'YIL137C', 'YIL156W', 'YIR022W', 'YIR039C', 'YJL001W', 'YJL156C', 'YJL172W', 'YJL197W', 'YJR099W', 'YJR117W', 'YJR126C', 'YKL100C', 'YKL103C', 'YKL134C', 'YKL157W', 'YKL171W', 'YKR087C', 'YKR098C', 'YLL029W', 'YLR120C', 'YLR121C', 'YLR163C', 'YLR244C', 'YLR299W', 'YLR389C', 'YMR035W', 'YMR089C', 'YMR114C', 'YMR139W', 'YMR150C', 'YMR154C', 'YMR223W', 'YMR274C', 'YMR297W', 'YMR304W', 'YNL045W', 'YNL123W', 'YNL186W', 'YNL191W', 'YNL223W', 'YNL238W', 'YNL239W', 'YNR020C', 'YOL057W', 'YOL098C', 'YOL128C', 'YOL154W', 'YOR003W', 'YOR124C', 'YOR157C', 'YOR197W', 'YOR219C', 'YOR256C', 'YOR275C', 'YPL020C', 'YPL072W', 'YPL154C', 'YPL191C', 'YPL246C', 'YPR024W', 'YPR103W', 'YPR122W', 'YPR191W']"
proteolysis involved in cellular protein catabolic process,20,"['YBL041W', 'YDR430C', 'YER012W', 'YER094C', 'YFR050C', 'YGL011C', 'YGR135W', 'YGR253C', 'YJL001W', 'YJL172W', 'YKL100C', 'YLR368W', 'YLR389C', 'YML092C', 'YMR314W', 'YOL038W', 'YOR157C', 'YOR362C', 'YPL154C', 'YPR103W']"
proton export across plasma membrane,2,"['YGL008C', 'YPL036W']"
proton-transporting ATP synthase complex assembly,1,['YJL180C']
proton-transporting two-sector ATPase complex assembly,1,['YDR350C']
protoporphyrinogen IX biosynthetic process,7,"['YDL205C', 'YDR044W', 'YDR047W', 'YDR232W', 'YER014W', 'YGL040C', 'YOR278W']"
pseudohyphal growth,53,"['YAL056W', 'YBR083W', 'YCL047C', 'YCR093W', 'YDL024C', 'YDL035C', 'YDL159W', 'YDL160C', 'YDL230W', 'YDR099W', 'YDR107C', 'YDR207C', 'YDR251W', 'YDR392W', 'YDR497C', 'YER020W', 'YER113C', 'YER149C', 'YER177W', 'YER178W', 'YGL197W', 'YGR249W', 'YHL007C', 'YHL023C', 'YHR073W', 'YHR084W', 'YHR143W', 'YIL049W', 'YIR019C', 'YJR094C', 'YJR147W', 'YKL048C', 'YKL149C', 'YLL021W', 'YLR083C', 'YLR313C', 'YLR319C', 'YLR353W', 'YLR362W', 'YMR016C', 'YMR162C', 'YMR238W', 'YMR316W', 'YNL079C', 'YNL119W', 'YNL142W', 'YNL197C', 'YOR030W', 'YOR032C', 'YOR315W', 'YOR371C', 'YPL021W', 'YPL026C']"
pseudouridine synthesis,13,"['YDL036C', 'YFL001W', 'YGL063W', 'YGR169C', 'YHR072W-A', 'YHR089C', 'YLR165C', 'YLR175W', 'YNL124W', 'YNL292W', 'YOL066C', 'YOR243C', 'YPL212C']"
pteridine-containing compound metabolic process,1,['YNL256W']
purine deoxyribonucleoside triphosphate catabolic process,1,['YJR069C']
purine nucleobase biosynthetic process,5,"['YGL234W', 'YGR204W', 'YKR080W', 'YMR300C', 'YOR184W']"
purine nucleobase catabolic process,1,['YIR027C']
purine nucleobase metabolic process,8,"['YGL234W', 'YIR027C', 'YIR028W', 'YIR029W', 'YIR031C', 'YIR032C', 'YJR105W', 'YOR128C']"
purine nucleoside catabolic process,1,['YDR400W']
purine nucleotide biosynthetic process,23,"['YAR015W', 'YBL068W', 'YBR084W', 'YDR408C', 'YER099C', 'YGL234W', 'YGR061C', 'YGR204W', 'YHL011C', 'YHR216W', 'YJR133W', 'YKL181W', 'YKR080W', 'YLR028C', 'YLR359W', 'YLR432W', 'YML056C', 'YMR120C', 'YMR217W', 'YMR300C', 'YNL220W', 'YOL061W', 'YOR128C']"
purine nucleotide metabolic process,2,"['YDR454C', 'YML035C']"
purine ribonucleoside monophosphate biosynthetic process,2,"['YML035C', 'YNL141W']"
purine ribonucleoside salvage,6,"['YDR399W', 'YDR441C', 'YJR105W', 'YLR017W', 'YML022W', 'YMR278W']"
purine ribonucleotide biosynthetic process,1,['YLR359W']
purine-containing compound salvage,1,['YNL141W']
purine-containing compound transmembrane transport,3,"['YER056C', 'YER060W', 'YER060W-A']"
putrescine biosynthetic process,1,['YKL184W']
putrescine biosynthetic process from ornithine,1,['YKL184W']
putrescine transport,5,"['YDL210W', 'YHL016C', 'YJR059W', 'YLL028W', 'YPL274W']"
pyridine nucleotide biosynthetic process,10,"['YBL098W', 'YCL047C', 'YFR047C', 'YGL037C', 'YGR010W', 'YJR025C', 'YLR231C', 'YLR328W', 'YNL129W', 'YOR209C']"
pyridoxal 5'-phosphate salvage,3,"['YBR035C', 'YEL029C', 'YNR027W']"
pyridoxal phosphate biosynthetic process,8,"['YEL029C', 'YFL059W', 'YFL060C', 'YMR095C', 'YMR096W', 'YNL333W', 'YNL334C', 'YNR027W']"
pyridoxal phosphate transport,1,['YGR257C']
pyridoxine biosynthetic process,6,"['YBR035C', 'YFL059W', 'YMR095C', 'YMR096W', 'YNL333W', 'YOR095C']"
pyridoxine metabolic process,3,"['YFL060C', 'YMR095C', 'YNL334C']"
pyrimidine deoxyribonucleoside triphosphate catabolic process,2,"['YBR252W', 'YJR069C']"
pyrimidine dimer repair,1,['YDR097C']
pyrimidine nucleobase biosynthetic process,3,"['YBL039C', 'YJR103W', 'YLR420W']"
pyrimidine nucleobase metabolic process,2,"['YER037W', 'YGL224C']"
pyrimidine nucleoside catabolic process,1,['YDR400W']
pyrimidine nucleotide biosynthetic process,10,"['YBL039C', 'YEL021W', 'YJL130C', 'YJR103W', 'YKL024C', 'YKL216W', 'YLR014C', 'YLR420W', 'YML106W', 'YMR271C']"
pyrimidine nucleotide transport,1,['YBR192W']
pyrimidine ribonucleoside biosynthetic process,2,"['YML106W', 'YMR271C']"
pyrimidine-containing compound salvage,6,"['YDR020C', 'YDR400W', 'YHR128W', 'YLR245C', 'YNR012W', 'YPR062W']"
pyruvate biosynthetic process,1,['YKL218C']
pyruvate metabolic process,11,"['YAL038W', 'YBR218C', 'YFL018C', 'YGL062W', 'YKL029C', 'YLR044C', 'YLR134W', 'YLR153C', 'YNL071W', 'YOR347C', 'YOR374W']"
quinolinate biosynthetic process,3,"['YBL098W', 'YJR025C', 'YLR231C']"
quinolinate catabolic process,1,['YFR047C']
quinolinate metabolic process,1,['YJR025C']
quinolinic acid transmembrane transport,1,['YGR260W']
rDNA condensation,13,"['YCR086W', 'YDR110W', 'YDR174W', 'YDR180W', 'YDR325W', 'YDR439W', 'YER147C', 'YFR031C', 'YKR010C', 'YLR086W', 'YLR272C', 'YNL330C', 'YOL004W']"
rRNA (guanine-N7)-methylation,2,"['YCR047C', 'YNR046W']"
rRNA acetylation involved in maturation of SSU-rRNA,1,['YNL132W']
rRNA base methylation,5,"['YIL096C', 'YLR063W', 'YLR186W', 'YNL022C', 'YNL061W']"
rRNA catabolic process,11,"['YCR035C', 'YDL111C', 'YDR280W', 'YGL173C', 'YGR095C', 'YGR158C', 'YGR195W', 'YJL050W', 'YMR024W', 'YMR239C', 'YOL021C']"
rRNA export from nucleus,18,"['YDR450W', 'YER131W', 'YGL097W', 'YGL123W', 'YGL189C', 'YGR214W', 'YJR123W', 'YLR048W', 'YLR264W', 'YML026C', 'YMR230W', 'YMR235C', 'YNL178W', 'YNL302C', 'YOL040C', 'YOL121C', 'YOR167C', 'YOR293W']"
rRNA metabolic process,3,"['YGR150C', 'YJR041C', 'YNL132W']"
rRNA methylation,8,"['YBR141C', 'YCL054W', 'YDL014W', 'YDR083W', 'YGL136C', 'YMR265C', 'YOR201C', 'YPL266W']"
rRNA modification,5,"['YLR165C', 'YLR197W', 'YNL132W', 'YOR201C', 'YPL266W']"
rRNA processing,211,"['YAL033W', 'YBL004W', 'YBL018C', 'YBL026W', 'YBR142W', 'YBR167C', 'YBR181C', 'YBR189W', 'YBR247C', 'YBR257W', 'YBR279W', 'YCL031C', 'YCL054W', 'YCL059C', 'YCR018C', 'YCR031C', 'YCR035C', 'YCR047C', 'YCR057C', 'YCR087C-A', 'YDL014W', 'YDL031W', 'YDL111C', 'YDL148C', 'YDL153C', 'YDL166C', 'YDL208W', 'YDL213C', 'YDL229W', 'YDR021W', 'YDR083W', 'YDR087C', 'YDR091C', 'YDR117C', 'YDR194C', 'YDR280W', 'YDR299W', 'YDR312W', 'YDR324C', 'YDR339C', 'YDR365C', 'YDR378C', 'YDR398W', 'YDR412W', 'YDR432W', 'YDR449C', 'YDR457W', 'YDR478W', 'YEL026W', 'YEL055C', 'YER002W', 'YER082C', 'YER112W', 'YER126C', 'YER127W', 'YER146W', 'YFL002C', 'YFL023W', 'YGL029W', 'YGL030W', 'YGL064C', 'YGL078C', 'YGL111W', 'YGL120C', 'YGL123W', 'YGL136C', 'YGL171W', 'YGL173C', 'YGL246C', 'YGR030C', 'YGR081C', 'YGR090W', 'YGR095C', 'YGR103W', 'YGR128C', 'YGR145W', 'YGR158C', 'YGR159C', 'YGR195W', 'YGR214W', 'YGR271C-A', 'YGR276C', 'YGR280C', 'YGR285C', 'YHR034C', 'YHR062C', 'YHR064C', 'YHR065C', 'YHR066W', 'YHR069C', 'YHR072W-A', 'YHR081W', 'YHR085W', 'YHR087W', 'YHR088W', 'YHR089C', 'YHR148W', 'YHR169W', 'YHR196W', 'YHR197W', 'YIL091C', 'YIL096C', 'YJL010C', 'YJL033W', 'YJL050W', 'YJL069C', 'YJL109C', 'YJL136C', 'YJL191W', 'YJR002W', 'YJR022W', 'YJR041C', 'YKL009W', 'YKL014C', 'YKL078W', 'YKL082C', 'YKL099C', 'YKL172W', 'YKL208W', 'YKR024C', 'YKR057W', 'YKR060W', 'YKR063C', 'YKR081C', 'YLL008W', 'YLL011W', 'YLL035W', 'YLR002C', 'YLR048W', 'YLR051C', 'YLR063W', 'YLR068W', 'YLR106C', 'YLR107W', 'YLR129W', 'YLR145W', 'YLR165C', 'YLR175W', 'YLR186W', 'YLR196W', 'YLR197W', 'YLR222C', 'YLR276C', 'YLR409C', 'YLR430W', 'YLR435W', 'YLR438C-A', 'YML093W', 'YML127W', 'YMR049C', 'YMR093W', 'YMR128W', 'YMR131C', 'YMR229C', 'YMR239C', 'YMR285C', 'YMR290C', 'YNL022C', 'YNL061W', 'YNL075W', 'YNL096C', 'YNL110C', 'YNL112W', 'YNL124W', 'YNL132W', 'YNL147W', 'YNL182C', 'YNL209W', 'YNL221C', 'YNL224C', 'YNL227C', 'YNL232W', 'YNL282W', 'YNL308C', 'YNR024W', 'YNR038W', 'YNR054C', 'YOL021C', 'YOL022C', 'YOL041C', 'YOL077C', 'YOL080C', 'YOL142W', 'YOR001W', 'YOR004W', 'YOR006C', 'YOR048C', 'YOR063W', 'YOR078W', 'YOR096W', 'YOR201C', 'YOR243C', 'YOR272W', 'YOR287C', 'YOR310C', 'YPL012W', 'YPL043W', 'YPL081W', 'YPL082C', 'YPL090C', 'YPL093W', 'YPL126W', 'YPL143W', 'YPL146C', 'YPL235W', 'YPL266W', 'YPR016C', 'YPR112C', 'YPR137W', 'YPR143W', 'YPR144C']"
rRNA pseudouridine synthesis,4,"['YDL208W', 'YHR052W', 'YHR072W-A', 'YLR175W']"
rRNA transcription,7,"['YBR010W', 'YEL055C', 'YML127W', 'YMR239C', 'YNL031C', 'YNL088W', 'YOL006C']"
raffinose catabolic process,1,['YIL162W']
re-entry into mitotic cell cycle,1,['YJL187C']
re-entry into mitotic cell cycle after pheromone arrest,9,"['YDR200C', 'YFR008W', 'YGR271C-A', 'YIL122W', 'YLR238W', 'YMR029C', 'YMR052W', 'YNL127W', 'YPL256C']"
reactive oxygen species metabolic process,4,"['YGR192C', 'YHR008C', 'YJR009C', 'YLR377C']"
receptor recycling,2,"['YBL085W', 'YER114C']"
receptor-mediated endocytosis,7,"['YBL037W', 'YBR109C', 'YGL206C', 'YGR198W', 'YMR109W', 'YNR035C', 'YPR029C']"
reciprocal DNA recombination,2,"['YGL168W', 'YLR265C']"
reciprocal meiotic recombination,51,"['YAR007C', 'YBR073W', 'YBR098W', 'YBR136W', 'YBR186W', 'YCR092C', 'YDL154W', 'YDR076W', 'YDR285W', 'YDR386W', 'YDR446W', 'YER095W', 'YER173W', 'YER179W', 'YFL003C', 'YGL033W', 'YGL163C', 'YGL183C', 'YGL213C', 'YGL249W', 'YGL250W', 'YGL251C', 'YHL022C', 'YHL024W', 'YHR039C', 'YHR079C-A', 'YHR157W', 'YIR025W', 'YJL074C', 'YJL173C', 'YJR021C', 'YLR035C', 'YLR219W', 'YLR234W', 'YLR263W', 'YLR329W', 'YLR394W', 'YLR445W', 'YML128C', 'YMR133W', 'YMR167W', 'YMR224C', 'YNL088W', 'YNL210W', 'YNL312W', 'YOL104C', 'YOR354C', 'YOR368W', 'YPL121C', 'YPL164C', 'YPR007C']"
